settlement_date,settlement_period,period_start_utc,embedded_wind_mw,embedded_solar_mw,embedded_wind_capacity_mw,embedded_solar_capacity_mw
2021-01-01,1,2021-01-01T00:00:00Z,1158,0,6527,13471
2021-01-01,2,2021-01-01T00:30:00Z,1208,0,6527,13471
2021-01-01,3,2021-01-01T01:00:00Z,1202,0,6527,13471
2021-01-01,4,2021-01-01T01:30:00Z,1226,0,6527,13471
2021-01-01,5,2021-01-01T02:00:00Z,1193,0,6527,13471
2021-01-01,6,2021-01-01T02:30:00Z,1183,0,6527,13471
2021-01-01,7,2021-01-01T03:00:00Z,1208,0,6527,13471
2021-01-01,8,2021-01-01T03:30:00Z,1245,0,6527,13471
2021-01-01,9,2021-01-01T04:00:00Z,1252,0,6527,13471
2021-01-01,10,2021-01-01T04:30:00Z,1275,0,6527,13471
2021-01-01,11,2021-01-01T05:00:00Z,1309,0,6527,13471
2021-01-01,12,2021-01-01T05:30:00Z,1363,0,6527,13471
2021-01-01,13,2021-01-01T06:00:00Z,1387,0,6527,13471
2021-01-01,14,2021-01-01T06:30:00Z,1429,0,6527,13471
2021-01-01,15,2021-01-01T07:00:00Z,1445,0,6527,13471
2021-01-01,16,2021-01-01T07:30:00Z,1484,0,6527,13471
2021-01-01,17,2021-01-01T08:00:00Z,1442,0,6527,13471
2021-01-01,18,2021-01-01T08:30:00Z,1415,40,6527,13471
2021-01-01,19,2021-01-01T09:00:00Z,1410,202,6527,13471
2021-01-01,20,2021-01-01T09:30:00Z,1421,356,6527,13471
2021-01-01,21,2021-01-01T10:00:00Z,1404,533,6527,13471
2021-01-01,22,2021-01-01T10:30:00Z,1417,741,6527,13471
2021-01-01,23,2021-01-01T11:00:00Z,1449,964,6527,13471
2021-01-01,24,2021-01-01T11:30:00Z,1508,1092,6527,13471
2021-01-01,25,2021-01-01T12:00:00Z,1506,1122,6527,13471
2021-01-01,26,2021-01-01T12:30:00Z,1529,1162,6527,13471
2021-01-01,27,2021-01-01T13:00:00Z,1510,1102,6527,13471
2021-01-01,28,2021-01-01T13:30:00Z,1506,1011,6527,13471
2021-01-01,29,2021-01-01T14:00:00Z,1443,784,6527,13471
2021-01-01,30,2021-01-01T14:30:00Z,1407,477,6527,13471
2021-01-01,31,2021-01-01T15:00:00Z,1416,175,6527,13471
2021-01-01,32,2021-01-01T15:30:00Z,1453,29,6527,13471
2021-01-01,33,2021-01-01T16:00:00Z,1373,0,6527,13471
2021-01-01,34,2021-01-01T16:30:00Z,1319,0,6527,13471
2021-01-01,35,2021-01-01T17:00:00Z,1318,0,6527,13471
2021-01-01,36,2021-01-01T17:30:00Z,1341,0,6527,13471
2021-01-01,37,2021-01-01T18:00:00Z,1321,0,6527,13471
2021-01-01,38,2021-01-01T18:30:00Z,1321,0,6527,13471
