settlement_date,settlement_period,period_start_utc,embedded_wind_mw,embedded_solar_mw,embedded_wind_capacity_mw,embedded_solar_capacity_mw
2017-01-01,1,2017-01-01T00:00:00Z,1634,0,4871,11503
2017-01-01,2,2017-01-01T00:30:00Z,1630,0,4871,11503
2017-01-01,3,2017-01-01T01:00:00Z,1660,0,4871,11503
2017-01-01,4,2017-01-01T01:30:00Z,1689,0,4871,11503
2017-01-01,5,2017-01-01T02:00:00Z,1736,0,4871,11503
2017-01-01,6,2017-01-01T02:30:00Z,1782,0,4871,11503
2017-01-01,7,2017-01-01T03:00:00Z,1805,0,4871,11503
2017-01-01,8,2017-01-01T03:30:00Z,1828,0,4871,11503
2017-01-01,9,2017-01-01T04:00:00Z,1845,0,4871,11503
2017-01-01,10,2017-01-01T04:30:00Z,1862,0,4871,11503
2017-01-01,11,2017-01-01T05:00:00Z,1901,0,4871,11503
2017-01-01,12,2017-01-01T05:30:00Z,1940,0,4871,11503
2017-01-01,13,2017-01-01T06:00:00Z,1900,0,4871,11503
2017-01-01,14,2017-01-01T06:30:00Z,1861,0,4871,11503
2017-01-01,15,2017-01-01T07:00:00Z,1878,0,4871,11503
2017-01-01,16,2017-01-01T07:30:00Z,1894,0,4871,11503
2017-01-01,17,2017-01-01T08:00:00Z,1908,14,4871,11503
2017-01-01,18,2017-01-01T08:30:00Z,1923,82,4871,11503
2017-01-01,19,2017-01-01T09:00:00Z,1909,170,4871,11503
2017-01-01,20,2017-01-01T09:30:00Z,1895,283,4871,11503
2017-01-01,21,2017-01-01T10:00:00Z,1970,399,4871,11503
2017-01-01,22,2017-01-01T10:30:00Z,2044,466,4871,11503
2017-01-01,23,2017-01-01T11:00:00Z,2140,553,4871,11503
2017-01-01,24,2017-01-01T11:30:00Z,2235,565,4871,11503
2017-01-01,25,2017-01-01T12:00:00Z,2344,539,4871,11503
2017-01-01,26,2017-01-01T12:30:00Z,2453,542,4871,11503
2017-01-01,27,2017-01-01T13:00:00Z,2506,504,4871,11503
2017-01-01,28,2017-01-01T13:30:00Z,2560,448,4871,11503
2017-01-01,29,2017-01-01T14:00:00Z,2583,344,4871,11503
2017-01-01,30,2017-01-01T14:30:00Z,2606,282,4871,11503
2017-01-01,31,2017-01-01T15:00:00Z,2541,178,4871,11503
