settlement_date,settlement_period,system_sell_price
2021-01-01,1,73.15
2021-01-01,2,73.15
2021-01-01,3,72.0
2021-01-01,4,71.9
2021-01-01,5,71.5
2021-01-01,6,37.61
2021-01-01,7,71.5
2021-01-01,8,69.95
2021-01-01,9,69.95
2021-01-01,10,40.0
2021-01-01,11,40.0
2021-01-01,12,38.0
2021-01-01,13,57.78
2021-01-01,14,29.5
2021-01-01,15,29.01
2021-01-01,16,29.01
2021-01-01,17,29.0736
2021-01-01,18,6.0
2021-01-01,19,71.45
2021-01-01,20,28.0
2021-01-01,21,38.0
2021-01-01,22,38.0
2021-01-01,23,73.0
2021-01-01,24,75.0
2021-01-01,25,75.0
2021-01-01,26,73.0
2021-01-01,27,75.0
2021-01-01,28,82.5
2021-01-01,29,82.5
2021-01-01,30,82.5
2021-01-01,31,84.9
2021-01-01,32,85.0
2021-01-01,33,84.9
2021-01-01,34,87.0
2021-01-01,35,94.95
2021-01-01,36,90.0
2021-01-01,37,87.0
2021-01-01,38,87.0
2021-01-01,39,87.0
2021-01-01,40,87.0
2021-01-01,41,87.0
2021-01-01,42,74.8
2021-01-01,43,74.8
2021-01-01,44,39.3
2021-01-01,45,39.3
2021-01-01,46,68.0
2021-01-01,47,39.2
2021-01-01,48,39.3
2021-01-02,1,39.31
2021-01-02,2,68.0
2021-01-02,3,68.0
2021-01-02,4,68.0
2021-01-02,5,32.77111
2021-01-02,6,6.0
2021-01-02,7,66.0
2021-01-02,8,65.95
2021-01-02,9,66.0
2021-01-02,10,65.95
2021-01-02,11,66.0
2021-01-02,12,65.95
2021-01-02,13,37.17
2021-01-02,14,39.2
2021-01-02,15,39.3
2021-01-02,16,39.2
2021-01-02,17,39.3
2021-01-02,18,39.3
2021-01-02,19,39.3
2021-01-02,20,39.3
2021-01-02,21,39.3
2021-01-02,22,39.55
2021-01-02,23,39.6
2021-01-02,24,84.5
2021-01-02,25,85.92317
2021-01-02,26,87.2
2021-01-02,27,85.0
2021-01-02,28,75.0
2021-01-02,29,74.0
2021-01-02,30,40.51
2021-01-02,31,40.51
2021-01-02,32,90.0
2021-01-02,33,94.0
2021-01-02,34,145.0
2021-01-02,35,145.0
2021-01-02,36,145.0
2021-01-02,37,93.5
2021-01-02,38,41.01
2021-01-02,39,85.0
2021-01-02,40,41.01
2021-01-02,41,41.01
2021-01-02,42,41.05
2021-01-02,43,42.0
2021-01-02,44,74.0
2021-01-02,45,72.5
2021-01-02,46,41.7
2021-01-02,47,72.5
2021-01-02,48,72.5
2021-01-03,1,68.0
2021-01-03,2,72.5
2021-01-03,3,72.5
2021-01-03,4,72.5
2021-01-03,5,72.4
2021-01-03,6,68.0
2021-01-03,7,62.0
2021-01-03,8,6.0
2021-01-03,9,6.0
2021-01-03,10,6.0
2021-01-03,11,68.99
2021-01-03,12,68.99
2021-01-03,13,68.99
2021-01-03,14,68.0
2021-01-03,15,20.1
2021-01-03,16,20.1
2021-01-03,17,40.0
2021-01-03,18,6.0
2021-01-03,19,0.0
2021-01-03,20,6.0
2021-01-03,21,20.0
2021-01-03,22,21.0
2021-01-03,23,64.9
2021-01-03,24,74.5
2021-01-03,25,83.5
2021-01-03,26,74.5
2021-01-03,27,73.75
2021-01-03,28,73.75
2021-01-03,29,73.75
2021-01-03,30,40.37
