settlement_date,settlement_period,period_start_utc,BIOMASS,CCGT,COAL,NPSHYD,NUCLEAR,OCGT,OIL,OTHER,PS,WIND,INTELEC,INTEW,INTFR,INTGRNL,INTIFA2,INTIRL,INTNED,INTNEM,INTNSL,INTVKL,INDO,ITSDO
2021-01-01,1,2021-01-01T00:00:00Z,3116,11338,0,383,5955,0,0,192,-18,4489,,204,2004,,0,220,0,1000,,,28263,28880
2021-01-01,2,2021-01-01T00:30:00Z,3115,11497,0,379,5951,0,0,184,-14,4351,,204,2004,,0,364,0,1000,,,28403,29018
2021-01-01,3,2021-01-01T01:00:00Z,3105,10863,0,349,5947,0,0,191,-20,4258,,204,2004,,0,362,0,1000,,,27633,28252
2021-01-01,4,2021-01-01T01:30:00Z,3114,10248,0,334,5951,0,0,186,-256,4265,,204,2004,,0,360,0,1000,,,26768,27625
2021-01-01,5,2021-01-01T02:00:00Z,3116,9656,0,328,5951,0,0,185,-576,4365,,204,2004,,0,304,0,1000,,,25876,27051
2021-01-01,6,2021-01-01T02:30:00Z,3116,9172,0,327,5952,0,0,192,-856,4466,,204,2002,,0,318,0,1000,,,25238,26693
2021-01-01,7,2021-01-01T03:00:00Z,3115,9246,0,320,5948,0,0,192,-1104,4404,,204,1806,,0,234,0,904,,,24626,26330
2021-01-01,8,2021-01-01T03:30:00Z,3116,8720,0,315,5948,1,0,190,-1116,4404,,204,1806,,0,220,0,904,,,24063,25779
2021-01-01,9,2021-01-01T04:00:00Z,3117,8300,0,315,5946,0,0,187,-1170,4524,,204,1806,,0,184,0,902,,,23661,25431
2021-01-01,10,2021-01-01T04:30:00Z,3121,7948,0,315,5948,0,0,186,-1164,4551,,204,1806,,0,152,0,902,,,23328,25093
2021-01-01,11,2021-01-01T05:00:00Z,3108,7742,0,314,5949,0,0,183,-1142,4731,,204,1806,,0,170,0,904,,,23315,25057
2021-01-01,12,2021-01-01T05:30:00Z,3120,7625,0,314,5943,0,0,185,-1076,4705,,204,1806,,0,192,0,902,,,23279,24955
2021-01-01,13,2021-01-01T06:00:00Z,3118,8137,0,320,5948,0,0,188,-952,4625,,204,1904,,0,174,0,952,,,23976,25528
2021-01-01,14,2021-01-01T06:30:00Z,3118,8427,0,343,5945,0,0,192,-888,4662,,204,1904,,0,164,0,952,,,24376,25863
2021-01-01,15,2021-01-01T07:00:00Z,3114,8197,0,388,5955,1,0,184,-72,4759,,204,1904,,0,34,0,952,,,24967,25638
