settlement_date,settlement_period,period_start_utc,embedded_wind_mw,embedded_solar_mw,embedded_wind_capacity_mw,embedded_solar_capacity_mw
2024-01-01,1,2024-01-01T00:00:00Z,2804,0,6488,16793
2024-01-01,2,2024-01-01T00:30:00Z,2834,0,6488,16793
2024-01-01,3,2024-01-01T01:00:00Z,2868,0,6488,16793
2024-01-01,4,2024-01-01T01:30:00Z,2901,0,6488,16793
2024-01-01,5,2024-01-01T02:00:00Z,2933,0,6488,16793
2024-01-01,6,2024-01-01T02:30:00Z,2965,0,6488,16793
2024-01-01,7,2024-01-01T03:00:00Z,2987,0,6488,16793
2024-01-01,8,2024-01-01T03:30:00Z,3008,0,6488,16793
2024-01-01,9,2024-01-01T04:00:00Z,3000,0,6488,16793
2024-01-01,10,2024-01-01T04:30:00Z,2992,0,6488,16793
2024-01-01,11,2024-01-01T05:00:00Z,2929,0,6488,16793
2024-01-01,12,2024-01-01T05:30:00Z,2865,0,6488,16793
2024-01-01,13,2024-01-01T06:00:00Z,2769,0,6488,16793
2024-01-01,14,2024-01-01T06:30:00Z,2673,0,6488,16793
2024-01-01,15,2024-01-01T07:00:00Z,2603,0,6488,16793
2024-01-01,16,2024-01-01T07:30:00Z,2532,0,6488,16793
2024-01-01,17,2024-01-01T08:00:00Z,2448,0,6488,16793
2024-01-01,18,2024-01-01T08:30:00Z,2363,152,6488,16793
2024-01-01,19,2024-01-01T09:00:00Z,2248,741,6488,16793
2024-01-01,20,2024-01-01T09:30:00Z,2133,1542,6488,16793
2024-01-01,21,2024-01-01T10:00:00Z,2030,2280,6488,16793
2024-01-01,22,2024-01-01T10:30:00Z,1927,2642,6488,16793
2024-01-01,23,2024-01-01T11:00:00Z,1844,2892,6488,16793
2024-01-01,24,2024-01-01T11:30:00Z,1761,2548,6488,16793
2024-01-01,25,2024-01-01T12:00:00Z,1643,2172,6488,16793
2024-01-01,26,2024-01-01T12:30:00Z,1525,1981,6488,16793
2024-01-01,27,2024-01-01T13:00:00Z,1408,1532,6488,16793
2024-01-01,28,2024-01-01T13:30:00Z,1291,914,6488,16793
2024-01-01,29,2024-01-01T14:00:00Z,1242,545,6488,16793
2024-01-01,30,2024-01-01T14:30:00Z,1192,224,6488,16793
2024-01-01,31,2024-01-01T15:00:00Z,1231,41,6488,16793
2024-01-01,32,2024-01-01T15:30:00Z,1269,0,6488,16793
2024-01-01,33,2024-01-01T16:00:00Z,1365,0,6488,16793
2024-01-01,34,2024-01-01T16:30:00Z,1461,0,6488,16793
2024-01-01,35,2024-01-01T17:00:00Z,1590,0,6488,16793
2024-01-01,36,2024-01-01T17:30:00Z,1719,0,6488,16793
2024-01-01,37,2024-01-01T18:00:00Z,1924,0,6488,16793
2024-01-01,38,2024-01-01T18:30:00Z,2128,0,6488,16793
2024-01-01,39,2024-01-01T19:00:00Z,2338,0,6488,16793
2024-01-01,40,2024-01-01T19:30:00Z,2547,0,6488,16793
2024-01-01,41,2024-01-01T20:00:00Z,2764,0,6488,16793
2024-01-01,42,2024-01-01T20:30:00Z,2980,0,6488,16793
2024-01-01,43,2024-01-01T21:00:00Z,3126,0,6488,16793
2024-01-01,44,2024-01-01T21:30:00Z,3272,0,6488,16793
2024-01-01,45,2024-01-01T22:00:00Z,3384,0,6488,16793
2024-01-01,46,2024-01-01T22:30:00Z,3496,0,6488,16793
2024-01-01,47,2024-01-01T23:00:00Z,3668,0,6488,16793
2024-01-01,48,2024-01-01T23:30:00Z,3840,0,6488,16794
2024-01-02,1,2024-01-02T00:00:00Z,3781,0,6488,16794
2024-01-02,2,2024-01-02T00:30:00Z,3721,0,6488,16794
2024-01-02,3,2024-01-02T01:00:00Z,3630,0,6488,16794
2024-01-02,4,2024-01-02T01:30:00Z,3539,0,6488,16794
2024-01-02,5,2024-01-02T02:00:00Z,3420,0,6488,16794
2024-01-02,6,2024-01-02T02:30:00Z,3300,0,6488,16794
2024-01-02,7,2024-01-02T03:00:00Z,3110,0,6488,16794
2024-01-02,8,2024-01-02T03:30:00Z,2919,0,6488,16794
2024-01-02,9,2024-01-02T04:00:00Z,2753,0,6488,16794
2024-01-02,10,2024-01-02T04:30:00Z,2587,0,6488,16794
2024-01-02,11,2024-01-02T05:00:00Z,2438,0,6488,16794
2024-01-02,12,2024-01-02T05:30:00Z,2288,0,6488,16794
2024-01-02,13,2024-01-02T06:00:00Z,2185,0,6488,16794
2024-01-02,14,2024-01-02T06:30:00Z,2082,0,6488,16794
2024-01-02,15,2024-01-02T07:00:00Z,2012,0,6488,16794
2024-01-02,16,2024-01-02T07:30:00Z,1942,0,6488,16794
2024-01-02,17,2024-01-02T08:00:00Z,1877,0,6488,16794
2024-01-02,18,2024-01-02T08:30:00Z,1812,0,6488,16794
2024-01-02,19,2024-01-02T09:00:00Z,1786,14,6488,16794
2024-01-02,20,2024-01-02T09:30:00Z,1759,74,6488,16794
2024-01-02,21,2024-01-02T10:00:00Z,1756,126,6488,16794
2024-01-02,22,2024-01-02T10:30:00Z,1753,216,6488,16794
2024-01-02,23,2024-01-02T11:00:00Z,1766,302,6488,16794
2024-01-02,24,2024-01-02T11:30:00Z,1779,408,6488,16794
2024-01-02,25,2024-01-02T12:00:00Z,1841,439,6488,16794
2024-01-02,26,2024-01-02T12:30:00Z,1903,463,6488,16794
2024-01-02,27,2024-01-02T13:00:00Z,1965,523,6488,16794
2024-01-02,28,2024-01-02T13:30:00Z,2027,715,6488,16794
2024-01-02,29,2024-01-02T14:00:00Z,2086,543,6488,16794
2024-01-02,30,2024-01-02T14:30:00Z,2145,361,6488,16794
2024-01-02,31,2024-01-02T15:00:00Z,2201,206,6488,16794
2024-01-02,32,2024-01-02T15:30:00Z,2257,38,6488,16794
2024-01-02,33,2024-01-02T16:00:00Z,2330,0,6488,16794
2024-01-02,34,2024-01-02T16:30:00Z,2403,0,6488,16794
2024-01-02,35,2024-01-02T17:00:00Z,2417,0,6488,16794
2024-01-02,36,2024-01-02T17:30:00Z,2431,0,6488,16794
2024-01-02,37,2024-01-02T18:00:00Z,2426,0,6488,16794
2024-01-02,38,2024-01-02T18:30:00Z,2421,0,6488,16794
2024-01-02,39,2024-01-02T19:00:00Z,2412,0,6488,16794
2024-01-02,40,2024-01-02T19:30:00Z,2403,0,6488,16794
2024-01-02,41,2024-01-02T20:00:00Z,2395,0,6488,16794
2024-01-02,42,2024-01-02T20:30:00Z,2386,0,6488,16794
2024-01-02,43,2024-01-02T21:00:00Z,2367,0,6488,16794
2024-01-02,44,2024-01-02T21:30:00Z,2347,0,6488,16794
2024-01-02,45,2024-01-02T22:00:00Z,2345,0,6488,16794
2024-01-02,46,2024-01-02T22:30:00Z,2343,0,6488,16794
2024-01-02,47,2024-01-02T23:00:00Z,2305,0,6488,16794
2024-01-02,48,2024-01-02T23:30:00Z,2267,0,6488,16796
2024-01-03,1,2024-01-03T00:00:00Z,2250,0,6488,16796
2024-01-03,2,2024-01-03T00:30:00Z,2232,0,6488,16796
2024-01-03,3,2024-01-03T01:00:00Z,2210,0,6488,16796
2024-01-03,4,2024-01-03T01:30:00Z,2187,0,6488,16796
2024-01-03,5,2024-01-03T02:00:00Z,2140,0,6488,16796
2024-01-03,6,2024-01-03T02:30:00Z,2093,0,6488,16796
2024-01-03,7,2024-01-03T03:00:00Z,2085,0,6488,16796
2024-01-03,8,2024-01-03T03:30:00Z,2076,0,6488,16796
2024-01-03,9,2024-01-03T04:00:00Z,2050,0,6488,16796
2024-01-03,10,2024-01-03T04:30:00Z,2024,0,6488,16796
2024-01-03,11,2024-01-03T05:00:00Z,1992,0,6488,16796
2024-01-03,12,2024-01-03T05:30:00Z,1959,0,6488,16796
2024-01-03,13,2024-01-03T06:00:00Z,1899,0,6488,16796
2024-01-03,14,2024-01-03T06:30:00Z,1839,0,6488,16796
2024-01-03,15,2024-01-03T07:00:00Z,1800,0,6488,16796
2024-01-03,16,2024-01-03T07:30:00Z,1761,0,6488,16796
2024-01-03,17,2024-01-03T08:00:00Z,1721,3,6488,16796
2024-01-03,18,2024-01-03T08:30:00Z,1680,188,6488,16796
2024-01-03,19,2024-01-03T09:00:00Z,1679,539,6488,16796
2024-01-03,20,2024-01-03T09:30:00Z,1678,897,6488,16796
2024-01-03,21,2024-01-03T10:00:00Z,1685,1336,6488,16796
2024-01-03,22,2024-01-03T10:30:00Z,1692,1710,6488,16796
