settlement_date,settlement_period,system_sell_price
2019-01-01,1,15.0
2019-01-01,2,15.0
2019-01-01,3,16.0
2019-01-01,4,16.0
2019-01-01,5,16.0
2019-01-01,6,15.0
2019-01-01,7,15.0
2019-01-01,8,30.0
2019-01-01,9,15.0
2019-01-01,10,15.0
2019-01-01,11,15.0
2019-01-01,12,15.0
2019-01-01,13,63.5
2019-01-01,14,17.62
2019-01-01,15,16.8
2019-01-01,16,16.8
2019-01-01,17,15.0
2019-01-01,18,30.0
2019-01-01,19,30.1
2019-01-01,20,40.15
2019-01-01,21,67.0
2019-01-01,22,30.1
2019-01-01,24,35.0
2019-01-01,25,20.0
2019-01-01,26,38.0
2019-01-01,27,44.5
2019-01-01,28,31.31
2019-01-01,29,38.0
2019-01-01,30,43.0
2019-01-01,31,38.0
2019-01-01,32,38.0
2019-01-01,33,38.0
2019-01-01,34,38.0
2019-01-01,35,38.0
2019-01-01,36,38.0
2019-01-01,37,46.0
2019-01-01,38,38.0
2019-01-01,39,38.0
2019-01-01,40,38.0
2019-01-01,41,38.0
2019-01-01,42,38.0
2019-01-01,43,38.0
2019-01-01,44,38.0
2019-01-01,45,38.0
2019-01-01,46,38.0
2019-01-01,47,16.0
2019-01-01,48,42.1
2019-01-02,1,42.0
2019-01-02,2,43.55
2019-01-02,3,44.02
2019-01-02,4,56.0
2019-01-02,5,54.0
2019-01-02,6,38.0
2019-01-02,7,20.0
2019-01-02,8,41.95
2019-01-02,9,41.95
2019-01-02,10,42.05
2019-01-02,11,43.0
2019-01-02,12,42.1
2019-01-02,13,42.2
2019-01-02,14,43.15
2019-01-02,15,45.0
2019-01-02,16,48.0
2019-01-02,17,46.0
2019-01-02,18,51.02
2019-01-02,19,51.05
2019-01-02,20,65.0
2019-01-02,21,87.0
2019-01-02,22,87.0
2019-01-02,23,92.8
2019-01-02,24,92.8
2019-01-02,25,100.0
2019-01-02,26,100.0
2019-01-02,27,98.0
2019-01-02,28,99.93
2019-01-02,29,99.93
2019-01-02,30,99.93
2019-01-02,31,51.5
2019-01-02,32,51.25
2019-01-02,33,156.5
2019-01-02,34,167.0
2019-01-02,35,158.0
2019-01-02,36,158.0
2019-01-02,37,52.75
2019-01-02,38,51.25
2019-01-02,39,100.0
2019-01-02,40,100.0
2019-01-02,41,106.0
2019-01-02,42,80.0
2019-01-02,43,80.0
2019-01-02,44,74.25
2019-01-02,45,72.5
2019-01-02,46,49.0
2019-01-02,47,49.05
2019-01-02,48,49.05
2019-01-03,1,47.3
2019-01-03,2,49.05
2019-01-03,3,47.3
2019-01-03,4,47.3
2019-01-03,5,20.0
2019-01-03,6,20.0
2019-01-03,7,49.05
2019-01-03,8,47.3
2019-01-03,9,48.05
2019-01-03,10,48.05
2019-01-03,11,49.05
2019-01-03,12,48.05
2019-01-03,13,49.06
2019-01-03,14,48.5
2019-01-03,15,48.05
2019-01-03,16,48.05
2019-01-03,17,49.05
2019-01-03,18,50.05
2019-01-03,19,52.3
2019-01-03,20,60.0
2019-01-03,21,96.69669
2019-01-03,22,100.0
2019-01-03,23,115.0
2019-01-03,24,115.0
2019-01-03,25,115.0
2019-01-03,26,112.9
2019-01-03,27,112.9
2019-01-03,28,60.0
2019-01-03,29,60.0
2019-01-03,30,112.9
2019-01-03,31,112.9
2019-01-03,32,53.0
2019-01-03,33,0.0
2019-01-03,34,0.0
2019-01-03,35,50.11
2019-01-03,36,50.4
2019-01-03,37,51.2
2019-01-03,38,53.75
2019-01-03,39,55.0
2019-01-03,40,53.77
2019-01-03,41,110.0
2019-01-03,42,50.4
2019-01-03,43,50.55
2019-01-03,44,49.6
2019-01-03,45,49.9
2019-01-03,46,50.05
2019-01-03,47,50.05
2019-01-03,48,50.05
2019-01-04,1,50.05
2019-01-04,2,49.1
2019-01-04,3,48.75
2019-01-04,4,48.75
