settlement_date,settlement_period,system_sell_price
2016-01-01,1,29.6
2016-01-01,2,48.1364
2016-01-01,3,49.02361
2016-01-01,4,46.0
2016-01-01,5,48.5
2016-01-01,6,48.5
2016-01-01,7,59.0
2016-01-01,8,49.93831
2016-01-01,9,54.23616
2016-01-01,10,48.5
2016-01-01,11,41.92554
2016-01-01,12,30.30878
2016-01-01,13,30.07056
2016-01-01,14,30.07484
2016-01-01,15,30.2
2016-01-01,16,30.2
2016-01-01,17,29.6
2016-01-01,18,30.2
2016-01-01,19,30.30879
2016-01-01,20,31.25
2016-01-01,21,46.0
2016-01-01,22,46.0
2016-01-01,23,31.25
2016-01-01,24,47.91034
2016-01-01,25,48.0
2016-01-01,26,48.59868
2016-01-01,27,48.0
2016-01-01,28,47.4581
2016-01-01,29,31.25
2016-01-01,30,30.2
2016-01-01,31,30.2
2016-01-01,32,30.2
2016-01-01,33,30.2
2016-01-01,34,29.6
2016-01-01,35,30.00951
2016-01-01,36,29.6
2016-01-01,37,29.95
2016-01-01,38,29.6
2016-01-01,39,30.2
2016-01-01,40,48.0
2016-01-01,41,30.2
2016-01-01,42,31.86788
2016-01-01,43,39.99
2016-01-01,44,30.69
2016-01-01,45,30.2
2016-01-01,46,29.6
2016-01-01,47,39.28
2016-01-01,48,30.13686
2016-01-02,1,29.6
2016-01-02,2,29.6
2016-01-02,3,30.2
2016-01-02,4,29.6
2016-01-02,5,29.6
2016-01-02,6,29.6
2016-01-02,7,29.72518
2016-01-02,8,24.45801
2016-01-02,9,13.0
2016-01-02,10,13.0
2016-01-02,11,21.89085
2016-01-02,12,29.6
2016-01-02,13,13.0
2016-01-02,14,13.0
2016-01-02,15,13.0
2016-01-02,16,13.0
2016-01-02,17,24.4797
2016-01-02,18,24.13437
2016-01-02,19,25.0201
2016-01-02,20,25.0
2016-01-02,21,27.48768
2016-01-02,22,29.6
2016-01-02,23,28.2
2016-01-02,24,27.60197
2016-01-02,25,30.09046
2016-01-02,26,29.6
2016-01-02,27,29.6
2016-01-02,28,45.44801
2016-01-02,29,44.89
2016-01-02,30,32.2
2016-01-02,31,44.89
2016-01-02,32,29.9077
2016-01-02,33,48.72
2016-01-02,34,51.72
2016-01-02,35,71.41031
2016-01-02,36,80.5895
2016-01-02,37,71.72
2016-01-02,38,52.9216
2016-01-02,39,58.16
2016-01-02,40,32.2
2016-01-02,41,29.0
2016-01-02,42,27.60573
2016-01-02,43,27.5
2016-01-02,44,27.5
2016-01-02,45,27.16144
2016-01-02,46,26.55
