settlement_date,settlement_period,period_start_utc,embedded_wind_mw,embedded_solar_mw,embedded_wind_capacity_mw,embedded_solar_capacity_mw
2016-01-01,1,2016-01-01T00:00:00Z,1580,0,4013,9063
2016-01-01,2,2016-01-01T00:30:00Z,1485,0,4013,9063
2016-01-01,3,2016-01-01T01:00:00Z,1385,0,4013,9063
2016-01-01,4,2016-01-01T01:30:00Z,1285,0,4013,9063
2016-01-01,5,2016-01-01T02:00:00Z,1208,0,4013,9063
2016-01-01,6,2016-01-01T02:30:00Z,1132,0,4013,9063
2016-01-01,7,2016-01-01T03:00:00Z,1070,0,4013,9063
2016-01-01,8,2016-01-01T03:30:00Z,1007,0,4013,9063
2016-01-01,9,2016-01-01T04:00:00Z,1000,0,4013,9063
2016-01-01,10,2016-01-01T04:30:00Z,994,0,4013,9063
2016-01-01,11,2016-01-01T05:00:00Z,1005,0,4013,9063
2016-01-01,12,2016-01-01T05:30:00Z,1016,0,4013,9063
2016-01-01,13,2016-01-01T06:00:00Z,1038,0,4013,9063
2016-01-01,14,2016-01-01T06:30:00Z,1061,0,4013,9063
2016-01-01,15,2016-01-01T07:00:00Z,1134,0,4013,9063
2016-01-01,16,2016-01-01T07:30:00Z,1208,0,4013,9063
2016-01-01,17,2016-01-01T08:00:00Z,1290,67,4013,9063
2016-01-01,18,2016-01-01T08:30:00Z,1371,165,4013,9063
2016-01-01,19,2016-01-01T09:00:00Z,1470,330,4013,9063
2016-01-01,20,2016-01-01T09:30:00Z,1568,462,4013,9063
2016-01-01,21,2016-01-01T10:00:00Z,1681,571,4013,9063
2016-01-01,22,2016-01-01T10:30:00Z,1794,673,4013,9063
2016-01-01,23,2016-01-01T11:00:00Z,1890,700,4013,9063
2016-01-01,24,2016-01-01T11:30:00Z,1987,695,4013,9063
2016-01-01,25,2016-01-01T12:00:00Z,2083,667,4013,9063
2016-01-01,26,2016-01-01T12:30:00Z,2179,605,4013,9063
2016-01-01,27,2016-01-01T13:00:00Z,2276,499,4013,9063
2016-01-01,28,2016-01-01T13:30:00Z,2374,378,4013,9063
2016-01-01,29,2016-01-01T14:00:00Z,2425,258,4013,9063
2016-01-01,30,2016-01-01T14:30:00Z,2476,150,4013,9063
2016-01-01,31,2016-01-01T15:00:00Z,2527,75,4013,9063
2016-01-01,32,2016-01-01T15:30:00Z,2578,22,4013,9063
2016-01-01,33,2016-01-01T16:00:00Z,2652,0,4013,9063
2016-01-01,34,2016-01-01T16:30:00Z,2726,0,4013,9063
2016-01-01,35,2016-01-01T17:00:00Z,2790,0,4013,9063
2016-01-01,36,2016-01-01T17:30:00Z,2853,0,4013,9063
2016-01-01,37,2016-01-01T18:00:00Z,2896,0,4013,9063
2016-01-01,38,2016-01-01T18:30:00Z,2940,0,4013,9063
2016-01-01,39,2016-01-01T19:00:00Z,2992,0,4013,9063
2016-01-01,40,2016-01-01T19:30:00Z,3045,0,4013,9063
2016-01-01,41,2016-01-01T20:00:00Z,3078,0,4013,9063
2016-01-01,42,2016-01-01T20:30:00Z,3111,0,4013,9063
2016-01-01,43,2016-01-01T21:00:00Z,3124,0,4013,9063
2016-01-01,44,2016-01-01T21:30:00Z,3136,0,4013,9063
