settlement_date,settlement_period,system_sell_price
2018-01-01,1,55.94
2018-01-01,2,55.94
2018-01-01,3,62.94
2018-01-01,4,31.0
2018-01-01,5,60.81165
2018-01-01,6,65.0
2018-01-01,7,67.85626
2018-01-01,8,65.7748
2018-01-01,9,64.01503
2018-01-01,10,61.42111
2018-01-01,11,59.64802
2018-01-01,12,65.0
2018-01-01,13,65.0
2018-01-01,14,65.0
2018-01-01,15,65.0
2018-01-01,16,63.91537
2018-01-01,17,18.16975
2018-01-01,18,21.83881
2018-01-01,19,55.94
2018-01-01,20,64.95858
2018-01-01,21,62.41571
2018-01-01,22,65.0
2018-01-01,23,66.02662
2018-01-01,24,68.0
2018-01-01,25,68.0
2018-01-01,26,68.0
2018-01-01,27,69.9
2018-01-01,28,65.0
2018-01-01,29,36.83533
2018-01-01,30,35.6
2018-01-01,31,38.86754
2018-01-01,32,40.05
2018-01-01,33,38.17677
2018-01-01,34,45.15
2018-01-01,35,40.08491
2018-01-01,36,41.76309
2018-01-01,37,38.41384
2018-01-01,38,36.64317
2018-01-01,39,59.95
2018-01-01,40,59.95
2018-01-01,41,39.06589
2018-01-01,42,38.08043
2018-01-01,43,38.31446
2018-01-01,44,38.0
2018-01-01,45,33.51662
2018-01-01,46,30.92449
2018-01-01,47,28.07784
2018-01-01,48,24.67
2018-01-02,1,23.06323
2018-01-02,2,25.0
2018-01-02,3,22.0
2018-01-02,4,22.0
2018-01-02,5,28.22193
2018-01-02,6,59.49
2018-01-02,7,65.0
2018-01-02,8,65.0
2018-01-02,9,62.49778
2018-01-02,10,61.75
2018-01-02,11,62.52238
2018-01-02,12,64.94
2018-01-02,13,64.94
2018-01-02,14,34.02343
2018-01-02,15,30.06964
2018-01-02,16,31.21949
2018-01-02,17,31.5
2018-01-02,18,33.65
2018-01-02,19,35.51217
2018-01-02,20,36.20876
2018-01-02,21,68.5
2018-01-02,22,105.0
2018-01-02,23,68.5
2018-01-02,24,68.5
2018-01-02,25,65.65503
2018-01-02,26,39.33077
2018-01-02,27,39.07
2018-01-02,28,39.07
2018-01-02,29,39.06
2018-01-02,30,37.99183
2018-01-02,31,37.20531
2018-01-02,32,37.56774
2018-01-02,33,39.0899
2018-01-02,34,39.12306
2018-01-02,35,40.38722
2018-01-02,36,94.9
2018-01-02,37,94.9
2018-01-02,38,43.73752
2018-01-02,39,39.07521
2018-01-02,40,38.01848
2018-01-02,41,38.0
2018-01-02,42,37.54532
2018-01-02,43,38.0352
2018-01-02,44,38.16165
2018-01-02,45,37.18623
2018-01-02,46,39.08
2018-01-02,47,68.0
2018-01-02,48,68.0
2018-01-03,1,68.0
2018-01-03,2,68.0
2018-01-03,3,74.0
2018-01-03,4,72.02484
2018-01-03,5,36.41967
2018-01-03,6,36.0
2018-01-03,7,36.41522
2018-01-03,8,74.0
2018-01-03,9,69.13995
2018-01-03,10,63.5
2018-01-03,11,63.5
2018-01-03,12,37.32021
2018-01-03,13,63.5
2018-01-03,14,37.0
2018-01-03,15,37.08631
2018-01-03,16,37.0
2018-01-03,17,35.83219
2018-01-03,18,37.09938
2018-01-03,19,37.42443
2018-01-03,20,38.08115
2018-01-03,21,37.0
2018-01-03,22,37.0414
2018-01-03,23,36.0
2018-01-03,24,37.0
2018-01-03,25,39.39571
2018-01-03,26,38.5
2018-01-03,27,38.19075
2018-01-03,28,38.0
2018-01-03,29,39.50412
2018-01-03,30,68.5
2018-01-03,31,40.1
2018-01-03,32,92.06
2018-01-03,33,38.55
2018-01-03,34,92.06
2018-01-03,35,98.16
2018-01-03,36,98.16
2018-01-03,37,98.16
2018-01-03,38,39.29928
2018-01-03,39,38.59665
2018-01-03,40,38.2
2018-01-03,41,38.88033
2018-01-03,42,38.19439
2018-01-03,43,38.6
2018-01-03,44,40.0
2018-01-03,45,36.0
2018-01-03,46,36.0
2018-01-03,47,28.73179
2018-01-03,48,34.67437
2018-01-04,1,37.0
2018-01-04,2,57.5
2018-01-04,3,35.32067
2018-01-04,4,35.0
2018-01-04,5,36.01
2018-01-04,6,36.01
2018-01-04,7,35.6
2018-01-04,8,35.89352
2018-01-04,9,36.17733
2018-01-04,10,35.32727
2018-01-04,11,36.01
2018-01-04,12,35.92362
2018-01-04,13,35.0
2018-01-04,14,28.0
2018-01-04,15,4.6425
2018-01-04,16,36.0
2018-01-04,17,36.0
2018-01-04,18,36.4744
2018-01-04,19,38.40975
2018-01-04,20,39.70497
2018-01-04,21,40.70257
2018-01-04,22,69.38202
2018-01-04,23,69.7
2018-01-04,24,69.49
2018-01-04,25,63.86668
2018-01-04,26,36.25364
2018-01-04,27,36.392
2018-01-04,28,37.2912
2018-01-04,29,39.17603
2018-01-04,30,39.18436
2018-01-04,31,38.55
2018-01-04,32,38.55
2018-01-04,33,38.55
2018-01-04,34,39.05358
2018-01-04,35,101.97
2018-01-04,36,101.97
2018-01-04,37,101.97
2018-01-04,38,38.59125
2018-01-04,39,38.57067
2018-01-04,40,39.47917
2018-01-04,41,39.16599
2018-01-04,42,38.91193
2018-01-04,43,61.0
2018-01-04,44,38.6
2018-01-04,45,38.54201
2018-01-04,46,37.16919
2018-01-04,47,34.66592
2018-01-04,48,61.0
2018-01-05,1,61.0
2018-01-05,2,61.0
2018-01-05,3,49.72
2018-01-05,4,38.6
2018-01-05,5,38.5559
2018-01-05,6,38.6
2018-01-05,7,38.6
2018-01-05,8,38.6
2018-01-05,9,38.65166
