settlement_date,settlement_period,period_start_utc,embedded_wind_mw,embedded_solar_mw,embedded_wind_capacity_mw,embedded_solar_capacity_mw
2018-01-01,1,2018-01-01T00:00:00Z,3064,0,5754,12916
2018-01-01,2,2018-01-01T00:30:00Z,3005,0,5754,12916
2018-01-01,3,2018-01-01T01:00:00Z,2950,0,5754,12916
2018-01-01,4,2018-01-01T01:30:00Z,2895,0,5754,12916
2018-01-01,5,2018-01-01T02:00:00Z,2892,0,5754,12916
2018-01-01,6,2018-01-01T02:30:00Z,2890,0,5754,12916
2018-01-01,7,2018-01-01T03:00:00Z,2832,0,5754,12916
2018-01-01,8,2018-01-01T03:30:00Z,2774,0,5754,12916
2018-01-01,9,2018-01-01T04:00:00Z,2684,0,5754,12916
2018-01-01,10,2018-01-01T04:30:00Z,2593,0,5754,12916
2018-01-01,11,2018-01-01T05:00:00Z,2528,0,5754,12916
2018-01-01,12,2018-01-01T05:30:00Z,2463,0,5754,12916
2018-01-01,13,2018-01-01T06:00:00Z,2344,0,5754,12916
2018-01-01,14,2018-01-01T06:30:00Z,2226,0,5754,12916
2018-01-01,15,2018-01-01T07:00:00Z,2112,0,5754,12916
2018-01-01,16,2018-01-01T07:30:00Z,1999,0,5754,12916
2018-01-01,17,2018-01-01T08:00:00Z,1916,4,5754,12916
2018-01-01,18,2018-01-01T08:30:00Z,1832,62,5754,12916
2018-01-01,19,2018-01-01T09:00:00Z,1798,230,5754,12916
2018-01-01,20,2018-01-01T09:30:00Z,1764,640,5754,12916
2018-01-01,21,2018-01-01T10:00:00Z,1800,891,5754,12916
2018-01-01,22,2018-01-01T10:30:00Z,1836,1020,5754,12916
2018-01-01,23,2018-01-01T11:00:00Z,1851,1100,5754,12916
2018-01-01,24,2018-01-01T11:30:00Z,1866,1510,5754,12916
2018-01-01,25,2018-01-01T12:00:00Z,1870,1840,5754,12916
2018-01-01,26,2018-01-01T12:30:00Z,1875,1990,5754,12916
2018-01-01,27,2018-01-01T13:00:00Z,1889,2260,5754,12916
2018-01-01,28,2018-01-01T13:30:00Z,1903,1910,5754,12916
2018-01-01,29,2018-01-01T14:00:00Z,1960,1640,5754,12916
2018-01-01,30,2018-01-01T14:30:00Z,2016,884,5754,12916
2018-01-01,31,2018-01-01T15:00:00Z,2136,353,5754,12916
2018-01-01,32,2018-01-01T15:30:00Z,2256,77,5754,12916
2018-01-01,33,2018-01-01T16:00:00Z,2344,2,5754,12916
2018-01-01,34,2018-01-01T16:30:00Z,2431,0,5754,12916
2018-01-01,35,2018-01-01T17:00:00Z,2525,1,5754,12916
2018-01-01,36,2018-01-01T17:30:00Z,2619,0,5754,12916
2018-01-01,37,2018-01-01T18:00:00Z,2702,0,5754,12916
2018-01-01,38,2018-01-01T18:30:00Z,2786,0,5754,12916
2018-01-01,39,2018-01-01T19:00:00Z,2804,0,5754,12916
2018-01-01,40,2018-01-01T19:30:00Z,2822,0,5754,12916
2018-01-01,41,2018-01-01T20:00:00Z,2781,0,5754,12916
2018-01-01,42,2018-01-01T20:30:00Z,2740,0,5754,12916
2018-01-01,43,2018-01-01T21:00:00Z,2689,0,5754,12916
2018-01-01,44,2018-01-01T21:30:00Z,2638,0,5754,12916
2018-01-01,45,2018-01-01T22:00:00Z,2602,0,5754,12916
2018-01-01,46,2018-01-01T22:30:00Z,2567,0,5754,12916
2018-01-01,47,2018-01-01T23:00:00Z,2530,0,5754,12916
2018-01-01,48,2018-01-01T23:30:00Z,2494,0,5754,12916
2018-01-02,1,2018-01-02T00:00:00Z,2400,0,5754,12916
2018-01-02,2,2018-01-02T00:30:00Z,2305,0,5754,12916
2018-01-02,3,2018-01-02T01:00:00Z,2148,0,5754,12916
2018-01-02,4,2018-01-02T01:30:00Z,1991,0,5754,12916
2018-01-02,5,2018-01-02T02:00:00Z,1854,0,5754,12916
2018-01-02,6,2018-01-02T02:30:00Z,1716,0,5754,12916
2018-01-02,7,2018-01-02T03:00:00Z,1588,0,5754,12916
2018-01-02,8,2018-01-02T03:30:00Z,1460,0,5754,12916
2018-01-02,9,2018-01-02T04:00:00Z,1419,0,5754,12916
2018-01-02,10,2018-01-02T04:30:00Z,1378,0,5754,12916
2018-01-02,11,2018-01-02T05:00:00Z,1394,0,5754,12916
2018-01-02,12,2018-01-02T05:30:00Z,1411,0,5754,12916
2018-01-02,13,2018-01-02T06:00:00Z,1428,0,5754,12916
2018-01-02,14,2018-01-02T06:30:00Z,1445,0,5754,12916
2018-01-02,15,2018-01-02T07:00:00Z,1504,0,5754,12916
2018-01-02,16,2018-01-02T07:30:00Z,1564,0,5754,12916
2018-01-02,17,2018-01-02T08:00:00Z,1650,1,5754,12916
2018-01-02,18,2018-01-02T08:30:00Z,1736,8,5754,12916
2018-01-02,19,2018-01-02T09:00:00Z,1858,30,5754,12916
2018-01-02,20,2018-01-02T09:30:00Z,1979,57,5754,12916
2018-01-02,21,2018-01-02T10:00:00Z,2209,107,5754,12916
2018-01-02,22,2018-01-02T10:30:00Z,2439,197,5754,12916
2018-01-02,23,2018-01-02T11:00:00Z,2652,274,5754,12916
2018-01-02,24,2018-01-02T11:30:00Z,2865,336,5754,12916
2018-01-02,25,2018-01-02T12:00:00Z,2988,390,5754,12916
2018-01-02,26,2018-01-02T12:30:00Z,3111,533,5754,12916
2018-01-02,27,2018-01-02T13:00:00Z,3142,432,5754,12916
2018-01-02,28,2018-01-02T13:30:00Z,3172,377,5754,12916
2018-01-02,29,2018-01-02T14:00:00Z,3084,301,5754,12916
2018-01-02,30,2018-01-02T14:30:00Z,2995,157,5754,12916
2018-01-02,31,2018-01-02T15:00:00Z,2850,39,5754,12916
2018-01-02,32,2018-01-02T15:30:00Z,2705,1,5754,12916
2018-01-02,33,2018-01-02T16:00:00Z,2599,0,5754,12916
2018-01-02,34,2018-01-02T16:30:00Z,2493,6,5754,12916
2018-01-02,35,2018-01-02T17:00:00Z,2440,0,5754,12916
2018-01-02,36,2018-01-02T17:30:00Z,2386,0,5754,12916
2018-01-02,37,2018-01-02T18:00:00Z,2477,0,5754,12916
2018-01-02,38,2018-01-02T18:30:00Z,2568,0,5754,12916
2018-01-02,39,2018-01-02T19:00:00Z,2553,0,5754,12916
2018-01-02,40,2018-01-02T19:30:00Z,2538,0,5754,12916
2018-01-02,41,2018-01-02T20:00:00Z,2680,0,5754,12916
2018-01-02,42,2018-01-02T20:30:00Z,2823,0,5754,12916
2018-01-02,43,2018-01-02T21:00:00Z,3070,0,5754,12916
2018-01-02,44,2018-01-02T21:30:00Z,3316,0,5754,12916
2018-01-02,45,2018-01-02T22:00:00Z,3460,0,5754,12916
2018-01-02,46,2018-01-02T22:30:00Z,3603,0,5754,12916
2018-01-02,47,2018-01-02T23:00:00Z,3759,0,5754,12916
2018-01-02,48,2018-01-02T23:30:00Z,3915,0,5754,12916
2018-01-03,1,2018-01-03T00:00:00Z,3866,0,5754,12916
2018-01-03,2,2018-01-03T00:30:00Z,3817,0,5754,12916
2018-01-03,3,2018-01-03T01:00:00Z,3920,0,5754,12916
2018-01-03,4,2018-01-03T01:30:00Z,4022,0,5754,12916
2018-01-03,5,2018-01-03T02:00:00Z,4076,0,5754,12916
2018-01-03,6,2018-01-03T02:30:00Z,4130,0,5754,12916
2018-01-03,7,2018-01-03T03:00:00Z,4248,0,5754,12916
2018-01-03,8,2018-01-03T03:30:00Z,4366,0,5754,12916
2018-01-03,9,2018-01-03T04:00:00Z,4326,0,5754,12916
2018-01-03,10,2018-01-03T04:30:00Z,4287,0,5754,12916
2018-01-03,11,2018-01-03T05:00:00Z,4266,0,5754,12916
2018-01-03,12,2018-01-03T05:30:00Z,4245,0,5754,12916
2018-01-03,13,2018-01-03T06:00:00Z,4171,0,5754,12916
2018-01-03,14,2018-01-03T06:30:00Z,4097,0,5754,12916
2018-01-03,15,2018-01-03T07:00:00Z,4056,0,5754,12916
2018-01-03,16,2018-01-03T07:30:00Z,4015,0,5754,12916
2018-01-03,17,2018-01-03T08:00:00Z,3971,6,5754,12916
2018-01-03,18,2018-01-03T08:30:00Z,3927,129,5754,12916
2018-01-03,19,2018-01-03T09:00:00Z,3914,405,5754,12916
2018-01-03,20,2018-01-03T09:30:00Z,3901,933,5754,12916
