settlement_date,settlement_period,period_start_utc,BIOMASS,CCGT,COAL,NPSHYD,NUCLEAR,OCGT,OIL,OTHER,PS,WIND,INTELEC,INTEW,INTFR,INTGRNL,INTIFA2,INTIRL,INTNED,INTNEM,INTNSL,INTVKL,INDO,ITSDO
2019-01-01,1,2019-01-01T00:00:00Z,1052,5853,0,405,6924,0,0,64,-170,9236,,-246,1552,,,-456,182,,,,23712,25183
2019-01-01,2,2019-01-01T00:30:00Z,1040,6292,0,388,6838,0,0,63,24,9297,,-240,1554,,,-456,196,,,,24315,25633
2019-01-01,3,2019-01-01T01:00:00Z,1026,5719,0,372,6834,0,0,64,-26,9356,,-312,1504,,,-410,588,,,,24037,25384
2019-01-01,4,2019-01-01T01:30:00Z,1022,5020,0,368,6830,0,0,63,-28,9135,,-318,1504,,,-452,600,,,,23072,24456
2019-01-01,5,2019-01-01T02:00:00Z,1018,4964,0,355,6827,0,0,63,-542,8912,,-468,1504,,,-442,678,,,,22204,24255
2019-01-01,6,2019-01-01T02:30:00Z,1017,5113,0,341,6832,0,0,63,-992,8966,,-536,1504,,,-442,674,,,,21874,24445
2019-01-01,7,2019-01-01T03:00:00Z,1014,5148,0,323,6814,0,0,64,-1304,8722,,-536,1404,,,-454,298,,,,20840,23734
2019-01-01,8,2019-01-01T03:30:00Z,1012,4729,0,356,6802,0,0,65,-1166,8705,,-536,1412,,,-456,286,,,,20529,23287
2019-01-01,9,2019-01-01T04:00:00Z,1010,4910,0,400,6784,0,0,65,-1158,8575,,-536,964,,,-456,326,,,,20221,22970
2019-01-01,10,2019-01-01T04:30:00Z,1012,4915,0,406,6772,0,0,65,-1150,8329,,-536,962,,,-456,326,,,,19990,22730
2019-01-01,11,2019-01-01T05:00:00Z,1015,5173,0,431,6761,0,0,64,-884,8170,,-536,568,,,-456,392,,,,20040,22516
2019-01-01,12,2019-01-01T05:30:00Z,1054,5603,0,447,6748,0,0,64,-820,7925,,-536,562,,,-456,394,,,,20322,22733
2019-01-01,13,2019-01-01T06:00:00Z,1409,6028,0,447,6738,0,0,63,-820,7865,,-536,518,,,-456,440,,,,21028,23439
