settlement_date,settlement_period,system_sell_price
2024-01-01,1,90.0
2024-01-01,2,100.0
2024-01-01,3,57.43
2024-01-01,4,129.83794
2024-01-01,5,110.0
2024-01-01,6,100.0
2024-01-01,7,100.0
2024-01-01,8,98.0
2024-01-01,9,98.0
2024-01-01,10,99.373
2024-01-01,11,99.0
2024-01-01,12,132.0
2024-01-01,13,98.0
2024-01-01,14,99.0
2024-01-01,15,99.0
2024-01-01,16,98.0
2024-01-01,17,17.0
2024-01-01,18,92.0
2024-01-01,19,92.0
2024-01-01,20,92.0
2024-01-01,21,92.0
2024-01-01,22,92.0
2024-01-01,23,92.0
2024-01-01,24,92.0
2024-01-01,25,92.0
2024-01-01,26,15.0
2024-01-01,27,78.0
2024-01-01,28,109.0
2024-01-01,29,97.99
2024-01-01,30,105.0
2024-01-01,31,40.0
2024-01-01,32,40.0
2024-01-01,33,36.9
2024-01-01,34,40.0
2024-01-01,35,90.75
2024-01-01,36,99.95
2024-01-01,37,90.75
2024-01-01,38,15.21
2024-01-01,39,35.0
2024-01-01,40,10.5
2024-01-01,41,10.0
2024-01-01,42,10.0
2024-01-01,43,10.0
2024-01-01,44,0.0
2024-01-01,45,-10.0
2024-01-01,46,-25.0
2024-01-01,47,-8.15
2024-01-01,48,-16.86
2024-01-02,1,-46.32
2024-01-02,2,-44.76
2024-01-02,3,-31.0
2024-01-02,4,-44.76
2024-01-02,5,-44.76
2024-01-02,6,-29.56
2024-01-02,7,-29.56
2024-01-02,8,-29.56
2024-01-02,9,-29.56
2024-01-02,10,-29.56
2024-01-02,11,-12.27013
2024-01-02,12,0.47
2024-01-02,13,26.23
2024-01-02,14,26.23
2024-01-02,15,33.72
2024-01-02,16,33.72
2024-01-02,17,10.0
2024-01-02,18,6.06
2024-01-02,19,6.06
2024-01-02,20,6.06
2024-01-02,21,11.0
2024-01-02,22,108.75
2024-01-02,23,109.0
2024-01-02,24,10.0
2024-01-02,25,26.0
2024-01-02,26,108.5
2024-01-02,27,108.75
2024-01-02,28,35.0
2024-01-02,29,95.81704
2024-01-02,30,97.0
2024-01-02,31,104.75
2024-01-02,32,104.75
2024-01-02,33,102.5
2024-01-02,34,97.0
2024-01-02,35,97.0
2024-01-02,36,97.0
2024-01-02,37,97.0
2024-01-02,38,99.0
2024-01-02,39,111.32999
2024-01-02,40,97.0
2024-01-02,41,93.0
2024-01-02,42,35.06
2024-01-02,43,34.0
2024-01-02,44,32.0
2024-01-02,45,32.0
2024-01-02,46,32.0
