settlement_date,settlement_period,system_sell_price
2017-01-01,1,40.0
2017-01-01,2,46.865
2017-01-01,3,40.24737
2017-01-01,4,40.05
2017-01-01,5,40.01602
2017-01-01,6,40.05
2017-01-01,7,40.05
2017-01-01,8,39.2
2017-01-01,9,40.17534
2017-01-01,10,40.25
2017-01-01,11,63.92976
2017-01-01,12,38.5
2017-01-01,13,38.1
2017-01-01,14,38.26643
2017-01-01,15,38.5
2017-01-01,16,34.05738
2017-01-01,17,25.0
2017-01-01,18,35.03424
2017-01-01,19,38.5
2017-01-01,20,63.95
2017-01-01,21,38.5
2017-01-01,22,33.38692
2017-01-01,23,38.51415
2017-01-01,24,38.56
2017-01-01,25,38.56
2017-01-01,26,38.56
2017-01-01,27,38.61964
2017-01-01,28,38.56
2017-01-01,29,38.5981
2017-01-01,30,38.95
2017-01-01,31,38.96794
2017-01-01,32,38.56
2017-01-01,33,38.56
2017-01-01,34,38.67732
2017-01-01,35,39.55
2017-01-01,36,39.11
2017-01-01,37,39.05
2017-01-01,38,39.11
2017-01-01,39,77.0
2017-01-01,40,39.11
2017-01-01,41,58.58436
2017-01-01,42,72.38956
2017-01-01,43,39.11
2017-01-01,44,53.65033
2017-01-01,45,61.95
2017-01-01,46,61.5
2017-01-01,47,39.5
2017-01-01,48,61.44932
2017-01-02,1,38.95
2017-01-02,2,38.9858
2017-01-02,3,38.65
2017-01-02,4,37.82746
2017-01-02,5,37.61
2017-01-02,6,37.61
2017-01-02,7,32.8076
2017-01-02,8,30.97652
2017-01-02,9,31.41562
2017-01-02,10,33.0
2017-01-02,11,60.01504
2017-01-02,12,57.65586
2017-01-02,13,62.0
2017-01-02,14,38.05
2017-01-02,15,38.05
2017-01-02,16,38.65
2017-01-02,17,38.56557
2017-01-02,18,38.7
2017-01-02,19,38.1
2017-01-02,20,39.21514
2017-01-02,21,39.3125
2017-01-02,22,39.0
2017-01-02,23,38.75266
2017-01-02,24,39.0
2017-01-02,25,39.06981
2017-01-02,26,39.52788
2017-01-02,27,39.55
2017-01-02,28,39.58
2017-01-02,29,39.42
2017-01-02,30,39.42
2017-01-02,31,39.55506
2017-01-02,32,39.66266
2017-01-02,33,39.56
2017-01-02,34,102.52234
2017-01-02,35,40.1
2017-01-02,36,120.0
2017-01-02,37,120.0
2017-01-02,38,120.0
2017-01-02,39,40.1
2017-01-02,40,39.95169
2017-01-02,41,39.87946
2017-01-02,42,39.86
2017-01-02,43,39.84313
2017-01-02,44,39.7506
2017-01-02,45,39.76677
2017-01-02,46,39.77231
2017-01-02,47,39.85753
2017-01-02,48,38.01
2017-01-03,1,37.05038
2017-01-03,2,38.92328
2017-01-03,3,34.96
2017-01-03,4,34.96
2017-01-03,5,34.40283
2017-01-03,6,34.5846
2017-01-03,7,33.28729
2017-01-03,8,33.0
2017-01-03,9,33.40578
2017-01-03,10,33.0
2017-01-03,11,33.0
2017-01-03,12,34.9163
2017-01-03,13,35.25
2017-01-03,14,38.8762
2017-01-03,15,37.54233
2017-01-03,16,21.0
2017-01-03,17,33.0
2017-01-03,18,67.0
2017-01-03,19,68.5
2017-01-03,20,68.5
2017-01-03,21,39.06305
2017-01-03,22,39.18692
2017-01-03,23,39.5
2017-01-03,24,39.75
2017-01-03,25,39.75
2017-01-03,26,39.5
2017-01-03,27,39.60025
2017-01-03,28,39.65605
2017-01-03,29,39.84008
2017-01-03,30,39.42006
2017-01-03,31,34.05077
2017-01-03,32,5.0
2017-01-03,33,35.70082
2017-01-03,34,39.3552
2017-01-03,35,39.65
2017-01-03,36,39.65
2017-01-03,37,39.7
2017-01-03,38,39.65
2017-01-03,39,40.05
2017-01-03,40,40.04249
2017-01-03,41,65.0
2017-01-03,42,63.52102
2017-01-03,43,39.54456
2017-01-03,44,38.34621
2017-01-03,45,35.06
2017-01-03,46,34.34
2017-01-03,47,34.95212
2017-01-03,48,34.81517
2017-01-04,1,20.0
2017-01-04,2,27.59124
2017-01-04,3,23.66306
2017-01-04,4,29.23333
2017-01-04,5,1.5
2017-01-04,6,1.5
2017-01-04,7,1.5
2017-01-04,8,10.73868
2017-01-04,9,14.5
2017-01-04,10,14.5
2017-01-04,11,14.5
2017-01-04,12,50.0
2017-01-04,13,50.0
2017-01-04,14,39.33587
2017-01-04,15,38.52128
2017-01-04,16,39.6
2017-01-04,17,39.6
2017-01-04,18,39.5
2017-01-04,19,40.05
2017-01-04,20,59.76779
2017-01-04,21,72.3592
2017-01-04,22,98.03742
2017-01-04,23,110.39108
2017-01-04,24,72.0
2017-01-04,25,69.0
2017-01-04,26,50.0
2017-01-04,27,53.85041
2017-01-04,28,40.0
2017-01-04,29,40.02087
2017-01-04,30,39.76354
2017-01-04,31,40.0
2017-01-04,32,40.02717
2017-01-04,33,39.54408
2017-01-04,34,39.56599
2017-01-04,35,39.57339
2017-01-04,36,39.52502
2017-01-04,37,39.83892
2017-01-04,38,39.51927
2017-01-04,39,74.0
2017-01-04,40,40.75
2017-01-04,41,103.93596
2017-01-04,42,40.03121
2017-01-04,43,64.25
2017-01-04,44,63.0
2017-01-04,45,39.71
2017-01-04,46,39.61252
2017-01-04,47,39.71
2017-01-04,48,39.5
2017-01-05,1,37.95269
2017-01-05,2,38.04453
2017-01-05,3,39.5
2017-01-05,4,35.378
2017-01-05,5,38.14781
2017-01-05,6,10.96112
2017-01-05,7,37.95734
2017-01-05,8,37.95783
2017-01-05,9,49.89
2017-01-05,10,38.36472
2017-01-05,11,51.08557
2017-01-05,12,54.04178
2017-01-05,13,82.0
2017-01-05,14,85.0
2017-01-05,15,130.0
2017-01-05,16,155.28847
2017-01-05,17,149.59865
2017-01-05,18,85.63981
2017-01-05,19,85.0
2017-01-05,20,89.01132
2017-01-05,21,84.24991
2017-01-05,22,45.05188
2017-01-05,23,40.5
2017-01-05,24,39.68865
2017-01-05,25,39.80511
2017-01-05,26,39.68752
2017-01-05,27,40.05
2017-01-05,28,40.1369
2017-01-05,29,93.53261
2017-01-05,30,40.49391
2017-01-05,31,76.5
2017-01-05,32,89.43
2017-01-05,33,39.57511
2017-01-05,34,39.55622
2017-01-05,35,39.5
2017-01-05,36,39.11891
