settlement_date,settlement_period,system_sell_price
2020-01-01,1,50.9
2020-01-01,2,51.0
2020-01-01,3,29.37006
2020-01-01,4,28.52
2020-01-01,5,25.78
2020-01-01,6,24.77018
2020-01-01,7,50.5
2020-01-01,8,50.0
2020-01-01,9,23.93006
2020-01-01,10,23.93006
2020-01-01,11,6.0
2020-01-01,12,6.0
2020-01-01,13,23.82
2020-01-01,14,31.69
2020-01-01,15,23.98
2020-01-01,16,52.0
2020-01-01,17,52.0
2020-01-01,18,52.0
2020-01-01,19,52.0
2020-01-01,20,51.0
2020-01-01,21,51.9
2020-01-01,22,51.0
2020-01-01,23,25.59
2020-01-01,24,7.5
2020-01-01,25,51.9
2020-01-01,26,51.9
2020-01-01,27,51.0
2020-01-01,28,51.0
2020-01-01,29,50.75
2020-01-01,30,7.5
2020-01-01,31,7.5
2020-01-01,32,50.8
2020-01-01,33,52.0
2020-01-01,34,50.8
2020-01-01,35,52.0
2020-01-01,36,52.0
2020-01-01,37,51.9
2020-01-01,38,51.5
2020-01-01,39,49.95
2020-01-01,40,49.75
2020-01-01,41,49.75
2020-01-01,42,51.5
2020-01-01,43,49.45
2020-01-01,44,51.5
2020-01-01,45,51.5
2020-01-01,46,49.45
2020-01-01,47,50.05
2020-01-01,48,49.95
2020-01-02,1,2.5
2020-01-02,2,2.5
2020-01-02,3,49.0
2020-01-02,4,2.5
2020-01-02,5,2.5
2020-01-02,6,8.0
2020-01-02,7,25.85
2020-01-02,8,25.85
2020-01-02,9,49.0
2020-01-02,10,27.74
2020-01-02,11,31.85
2020-01-02,12,2.5
2020-01-02,13,7.5
2020-01-02,14,0.5
2020-01-02,15,42.12
2020-01-02,16,7.5
2020-01-02,17,6.0
2020-01-02,18,7.55
2020-01-02,19,6.0
2020-01-02,20,6.0
2020-01-02,21,6.0
2020-01-02,22,7.8
2020-01-02,23,7.8
2020-01-02,24,7.8
2020-01-02,25,50.0
2020-01-02,26,50.0
2020-01-02,27,52.0
2020-01-02,28,50.5
2020-01-02,29,50.0
2020-01-02,30,8.8
2020-01-02,31,50.5
2020-01-02,32,50.0
2020-01-02,33,8.8
2020-01-02,34,8.8
2020-01-02,35,8.9
2020-01-02,36,8.9
2020-01-02,37,9.2
2020-01-02,38,8.9
2020-01-02,39,8.9
2020-01-02,40,9.0
2020-01-02,41,9.0
2020-01-02,42,8.9
2020-01-02,43,9.0
2020-01-02,44,20.99
2020-01-02,45,6.0
2020-01-02,46,2.5
2020-01-02,47,15.83
2020-01-02,48,2.5
2020-01-03,1,2.5
2020-01-03,2,17.15
2020-01-03,3,51.0
2020-01-03,4,51.0
2020-01-03,5,50.0
2020-01-03,6,50.0
2020-01-03,7,2.5
2020-01-03,8,2.5
2020-01-03,9,7.13
2020-01-03,10,8.0
2020-01-03,11,20.99
2020-01-03,12,50.0
2020-01-03,13,24.65
2020-01-03,14,2.5
2020-01-03,15,-3.0
2020-01-03,16,0.2
2020-01-03,17,6.0
2020-01-03,18,6.0
2020-01-03,19,49.2
2020-01-03,20,9.0
2020-01-03,21,53.5
2020-01-03,22,49.2
2020-01-03,23,49.2
2020-01-03,24,9.0
2020-01-03,25,9.0
2020-01-03,26,9.0
2020-01-03,27,9.0
2020-01-03,28,9.0
2020-01-03,29,9.0
2020-01-03,30,9.0
2020-01-03,31,9.0
2020-01-03,32,9.0
2020-01-03,33,9.0
2020-01-03,34,52.5
2020-01-03,35,55.5
2020-01-03,36,55.5
2020-01-03,37,52.0
2020-01-03,38,10.0
2020-01-03,39,9.6
2020-01-03,40,9.8
2020-01-03,41,9.6
2020-01-03,42,9.6
2020-01-03,43,49.5
2020-01-03,44,9.6
2020-01-03,45,40.0
2020-01-03,46,40.0
2020-01-03,47,49.49
2020-01-03,48,51.0
2020-01-04,1,2.5
2020-01-04,2,49.49
2020-01-04,3,2.5
2020-01-04,4,0.0
2020-01-04,5,2.5
2020-01-04,6,2.5
2020-01-04,7,2.5
2020-01-04,8,2.5
2020-01-04,9,5.0
2020-01-04,10,2.5
2020-01-04,11,0.0
2020-01-04,12,2.5
2020-01-04,13,0.0
2020-01-04,14,2.5
2020-01-04,15,0.0
2020-01-04,16,5.0
2020-01-04,17,6.0
2020-01-04,18,9.6
2020-01-04,19,6.0
2020-01-04,20,7.0
2020-01-04,21,7.75
2020-01-04,22,49.45
2020-01-04,23,6.0
2020-01-04,24,6.0
2020-01-04,25,6.0
2020-01-04,26,7.75
2020-01-04,27,7.75
2020-01-04,28,7.5
2020-01-04,29,6.75
2020-01-04,30,49.9
2020-01-04,31,49.9
2020-01-04,32,52.0
2020-01-04,33,80.0
2020-01-04,34,150.0
2020-01-04,35,150.0
2020-01-04,36,150.0
2020-01-04,37,55.5
2020-01-04,38,55.5
2020-01-04,39,55.5
2020-01-04,40,55.5
2020-01-04,41,49.9
2020-01-04,42,49.9
2020-01-04,43,9.65
2020-01-04,44,8.0
2020-01-04,45,8.0
2020-01-04,46,9.0
2020-01-04,47,24.17
2020-01-04,48,23.48
2020-01-05,1,21.88
2020-01-05,2,22.66
2020-01-05,3,24.71
2020-01-05,4,21.96
2020-01-05,5,48.99
2020-01-05,6,48.98
2020-01-05,7,48.98
2020-01-05,8,2.5
2020-01-05,9,2.5
2020-01-05,10,5.0
2020-01-05,11,5.0
2020-01-05,12,19.83
2020-01-05,13,48.5
2020-01-05,14,48.98
2020-01-05,15,2.5
2020-01-05,16,0.0
2020-01-05,17,2.5
2020-01-05,18,2.5
2020-01-05,19,2.5
2020-01-05,20,48.94
2020-01-05,21,29.4
2020-01-05,22,48.94
2020-01-05,23,48.94
2020-01-05,24,5.1
2020-01-05,25,8.0
2020-01-05,26,48.94
2020-01-05,27,48.94
2020-01-05,28,48.95
2020-01-05,29,49.0
2020-01-05,30,49.0
2020-01-05,31,48.94
2020-01-05,32,50.45
2020-01-05,33,51.0
2020-01-05,34,50.5
2020-01-05,35,52.7
2020-01-05,36,51.0
2020-01-05,37,51.0
2020-01-05,38,48.95
2020-01-05,39,9.6
2020-01-05,40,8.0
2020-01-05,41,8.0
2020-01-05,42,8.0
2020-01-05,43,9.6
2020-01-05,44,5.1
2020-01-05,45,5.0
2020-01-05,46,2.5
2020-01-05,47,48.88
2020-01-05,48,0.0
2020-01-06,1,4.5
2020-01-06,2,19.39962
2020-01-06,3,44.62
2020-01-06,4,31.4
2020-01-06,5,24.81
2020-01-06,6,22.23
2020-01-06,7,21.36
2020-01-06,8,14.6
2020-01-06,9,17.6
2020-01-06,10,17.1
2020-01-06,11,0.0
2020-01-06,12,0.0
2020-01-06,13,2.5
2020-01-06,14,48.5
2020-01-06,15,5.0
2020-01-06,16,5.1
2020-01-06,17,50.0
2020-01-06,18,10.0
2020-01-06,19,50.0
2020-01-06,20,52.3
2020-01-06,21,49.0
2020-01-06,22,49.0
2020-01-06,23,32.85
2020-01-06,24,48.94
2020-01-06,25,11.0
2020-01-06,26,48.94
2020-01-06,27,48.94
2020-01-06,28,48.94
2020-01-06,29,53.0
2020-01-06,30,53.0
2020-01-06,31,53.0
2020-01-06,32,57.5
2020-01-06,33,53.0
2020-01-06,34,56.5
2020-01-06,35,56.5
2020-01-06,36,56.5
2020-01-06,37,56.5
2020-01-06,38,56.5
2020-01-06,39,52.5
2020-01-06,40,45.0
2020-01-06,41,11.35
2020-01-06,42,49.75
2020-01-06,43,51.0
2020-01-06,44,51.0
2020-01-06,45,49.99
2020-01-06,46,18.1472
2020-01-06,47,4.5
2020-01-06,48,2.5
2020-01-07,1,5.1
2020-01-07,2,23.72
2020-01-07,3,24.08
2020-01-07,4,22.8
2020-01-07,5,22.0
2020-01-07,6,5.1
2020-01-07,7,2.5
2020-01-07,8,0.0
2020-01-07,9,5.1
2020-01-07,10,0.0
2020-01-07,11,0.0
2020-01-07,12,0.0
2020-01-07,13,2.5
2020-01-07,14,2.5
2020-01-07,15,52.5
2020-01-07,16,54.0
2020-01-07,17,54.0
2020-01-07,18,51.75
2020-01-07,19,51.75
2020-01-07,20,51.75
2020-01-07,21,56.0
2020-01-07,22,56.0
2020-01-07,23,51.5
