settlement_date,settlement_period,system_sell_price
2022-01-01,1,13.51
2022-01-01,2,13.51
2022-01-01,3,42.13
2022-01-01,4,22.51
2022-01-01,5,5.2
2022-01-01,6,-1.4
2022-01-01,7,0.82
2022-01-01,8,-47.31
2022-01-01,9,-65.63598
2022-01-01,10,-71.42
2022-01-01,11,-74.58
2022-01-01,12,-77.55
2022-01-01,13,-74.58
2022-01-01,14,-74.44
2022-01-01,15,-74.77056
2022-01-01,16,-75.54
2022-01-01,17,-75.54
2022-01-01,18,-74.44
2022-01-01,19,-71.0
2022-01-01,20,9.78
2022-01-01,21,19.27
2022-01-01,22,0.0
2022-01-01,23,45.1
2022-01-01,24,45.1
2022-01-01,25,145.0
2022-01-01,26,145.0
2022-01-01,27,35.1
2022-01-01,28,28.53
2022-01-01,29,32.6
2022-01-01,30,32.6
2022-01-01,31,50.0
2022-01-01,32,-25.0
2022-01-01,33,20.80407
2022-01-01,34,62.55
2022-01-01,35,64.03
2022-01-01,36,20.0
2022-01-01,37,0.0
2022-01-01,38,0.0
2022-01-01,39,40.13
2022-01-01,40,45.02
2022-01-01,41,112.0
2022-01-01,42,105.0
2022-01-01,43,-20.0
2022-01-01,44,-34.5
2022-01-01,45,87.0
2022-01-01,46,-25.0
2022-01-01,47,80.0
2022-01-01,48,18.34
2022-01-02,1,21.65
2022-01-02,2,78.5
2022-01-02,3,78.5
2022-01-02,4,12.0
2022-01-02,5,12.0
2022-01-02,6,4.0
2022-01-02,7,0.0
2022-01-02,8,0.0
2022-01-02,9,-4.5704
2022-01-02,10,-19.0
2022-01-02,11,74.0
2022-01-02,12,74.0
2022-01-02,13,-19.98993
2022-01-02,14,-9.0
2022-01-02,15,-15.0
2022-01-02,16,-15.0
2022-01-02,17,1.93
2022-01-02,18,21.73
2022-01-02,19,27.05
2022-01-02,20,29.62
2022-01-02,21,30.01
2022-01-02,22,31.73
2022-01-02,23,33.42
2022-01-02,24,34.23
2022-01-02,25,31.08
2022-01-02,26,91.8
2022-01-02,27,103.89828
2022-01-02,28,104.0
2022-01-02,29,120.02442
2022-01-02,30,103.0
2022-01-02,31,73.96
2022-01-02,32,0.0
2022-01-02,33,0.0
2022-01-02,34,119.0
2022-01-02,35,0.0
2022-01-02,36,21.0
2022-01-02,37,-25.0
2022-01-02,38,-25.0
2022-01-02,39,-25.0
2022-01-02,40,41.7
2022-01-02,41,75.0
2022-01-02,42,75.0
2022-01-02,43,34.12
2022-01-02,44,34.12
2022-01-02,45,3.0
2022-01-02,46,0.17
2022-01-02,47,130.0
2022-01-02,48,100.0
2022-01-03,1,-32.27
2022-01-03,2,-5.28
2022-01-03,3,-70.97
2022-01-03,4,-71.42
2022-01-03,5,-71.42
2022-01-03,6,-74.44
2022-01-03,7,-71.0
2022-01-03,8,-74.58
2022-01-03,9,-74.58
2022-01-03,10,-74.58
2022-01-03,11,-77.55
2022-01-03,12,-74.44
2022-01-03,13,59.99
2022-01-03,14,110.0
2022-01-03,15,0.0
2022-01-03,16,20.0
2022-01-03,17,20.0
2022-01-03,18,70.56
2022-01-03,19,146.0
2022-01-03,20,152.75
2022-01-03,21,148.0
2022-01-03,22,148.0
2022-01-03,23,20.5
2022-01-03,24,26.0
2022-01-03,25,162.95
2022-01-03,26,30.0
2022-01-03,27,162.95
2022-01-03,28,162.95
2022-01-03,29,162.95
2022-01-03,30,185.0
2022-01-03,31,181.0
2022-01-03,32,30.0
2022-01-03,33,31.0
2022-01-03,34,65.0
2022-01-03,35,224.0
2022-01-03,36,181.0
2022-01-03,37,31.0
2022-01-03,38,0.0
2022-01-03,39,225.0
2022-01-03,40,225.0
2022-01-03,41,225.0
2022-01-03,42,0.0
2022-01-03,43,159.0
2022-01-03,44,31.8
2022-01-03,45,21.0
2022-01-03,46,2.0
2022-01-03,47,92.6
2022-01-03,48,20.0
2022-01-04,1,30.0
2022-01-04,2,175.0
2022-01-04,3,175.0
2022-01-04,4,96.53669
2022-01-04,5,80.5
2022-01-04,6,85.01
2022-01-04,7,79.08
2022-01-04,8,74.7096
2022-01-04,9,80.92
2022-01-04,10,30.0
2022-01-04,11,30.0
2022-01-04,12,30.0
2022-01-04,13,143.53
2022-01-04,14,20.0
2022-01-04,15,35.0
2022-01-04,16,35.0
2022-01-04,17,30.0
2022-01-04,18,205.0
2022-01-04,19,205.0
2022-01-04,20,206.0
2022-01-04,21,206.0
2022-01-04,22,206.0
2022-01-04,23,207.0
2022-01-04,24,206.0
2022-01-04,25,227.0
2022-01-04,26,227.0
2022-01-04,27,210.0
2022-01-04,28,57.0
2022-01-04,29,77.0
2022-01-04,30,234.0
2022-01-04,31,234.0
2022-01-04,32,234.0
2022-01-04,33,234.0
2022-01-04,34,260.0
2022-01-04,35,263.0
2022-01-04,36,262.9
2022-01-04,37,234.0
2022-01-04,38,234.0
2022-01-04,39,234.0
2022-01-04,40,234.0
2022-01-04,41,233.0
2022-01-04,42,220.0
2022-01-04,43,220.0
2022-01-04,44,38.0
2022-01-04,45,152.48
2022-01-04,46,152.48
2022-01-04,47,20.0
2022-01-04,48,89.85
2022-01-05,1,-16.32
2022-01-05,2,197.5
2022-01-05,3,197.5
2022-01-05,4,98.29
2022-01-05,5,70.0
2022-01-05,6,-39.19
2022-01-05,7,-42.1
2022-01-05,8,-48.76
2022-01-05,9,219.0
2022-01-05,10,205.0
2022-01-05,11,130.18
2022-01-05,12,205.0
2022-01-05,13,200.0
2022-01-05,14,218.0
2022-01-05,15,214.68
2022-01-05,16,226.7901
2022-01-05,17,243.0
2022-01-05,18,235.0
2022-01-05,19,235.0
2022-01-05,20,235.0
2022-01-05,21,120.0
2022-01-05,22,85.0
2022-01-05,23,120.0
2022-01-05,24,120.0
2022-01-05,25,120.0
2022-01-05,26,235.0
2022-01-05,27,241.9
2022-01-05,28,235.0
2022-01-05,29,235.0
2022-01-05,30,295.0
2022-01-05,31,295.0
2022-01-05,32,400.0
2022-01-05,33,400.0
2022-01-05,34,444.0
2022-01-05,35,400.0
2022-01-05,36,400.0
2022-01-05,37,125.0
2022-01-05,38,400.0
2022-01-05,39,240.0
2022-01-05,40,240.0
2022-01-05,41,270.0
2022-01-05,42,125.0
2022-01-05,43,240.0
2022-01-05,44,236.0
2022-01-05,45,125.0
2022-01-05,46,227.0
2022-01-05,47,227.0
2022-01-05,48,227.0
2022-01-06,1,102.0
2022-01-06,2,170.0
2022-01-06,3,95.0
2022-01-06,4,77.0
2022-01-06,5,77.0
2022-01-06,6,77.0
2022-01-06,7,216.0
2022-01-06,8,77.0
2022-01-06,9,0.0
2022-01-06,10,0.0
2022-01-06,11,77.0
2022-01-06,12,77.0
2022-01-06,13,78.0
2022-01-06,14,213.0
2022-01-06,15,78.0
2022-01-06,16,235.0
2022-01-06,17,235.0
2022-01-06,18,235.0
2022-01-06,19,235.0
2022-01-06,20,235.0
2022-01-06,21,254.0
2022-01-06,22,255.0
2022-01-06,23,245.0
2022-01-06,24,237.37
2022-01-06,25,187.34
2022-01-06,26,253.5
2022-01-06,27,253.5
2022-01-06,28,255.0
2022-01-06,29,270.0
2022-01-06,30,270.0
2022-01-06,31,131.0
2022-01-06,32,259.5
2022-01-06,33,250.0
2022-01-06,34,150.0
2022-01-06,35,257.95
2022-01-06,36,255.0
2022-01-06,37,255.0
2022-01-06,38,135.0
2022-01-06,39,131.65
2022-01-06,40,131.65
2022-01-06,41,131.65
2022-01-06,42,131.65
2022-01-06,43,231.0
2022-01-06,44,135.0
2022-01-06,45,231.0
2022-01-06,46,25.0
2022-01-06,47,165.49
2022-01-06,48,153.68
2022-01-07,1,0.0
2022-01-07,2,142.98
2022-01-07,3,216.0
2022-01-07,4,227.5
2022-01-07,5,220.95
2022-01-07,6,220.95
2022-01-07,7,216.0
2022-01-07,8,216.0
2022-01-07,9,220.95
2022-01-07,10,216.0
2022-01-07,11,20.0
2022-01-07,12,20.0
2022-01-07,13,191.66
2022-01-07,14,192.0
2022-01-07,15,239.5
2022-01-07,16,272.0
2022-01-07,17,259.85
2022-01-07,18,259.85
2022-01-07,19,229.28
2022-01-07,20,229.31
2022-01-07,21,165.0
2022-01-07,22,218.52
2022-01-07,23,135.15
2022-01-07,24,136.0
2022-01-07,25,245.0
2022-01-07,26,279.95026
2022-01-07,27,285.00015
2022-01-07,28,285.0
2022-01-07,29,285.0
2022-01-07,30,285.0
2022-01-07,31,252.0
2022-01-07,32,309.9502
2022-01-07,33,309.9499
2022-01-07,34,272.0
2022-01-07,35,272.0
2022-01-07,36,280.0
2022-01-07,37,280.0
2022-01-07,38,280.0
2022-01-07,39,299.94998
2022-01-07,40,270.0
2022-01-07,41,146.0
2022-01-07,42,139.0
2022-01-07,43,144.0
2022-01-07,44,225.0
2022-01-07,45,279.95
2022-01-07,46,132.1
2022-01-07,47,132.1
2022-01-07,48,138.0
2022-01-08,1,110.0
2022-01-08,2,234.0
2022-01-08,3,238.0
2022-01-08,4,209.0
2022-01-08,5,263.0
2022-01-08,6,238.0
2022-01-08,7,220.0
2022-01-08,8,110.1
2022-01-08,9,110.1
2022-01-08,10,81.0
2022-01-08,11,81.0
2022-01-08,12,209.0
2022-01-08,13,219.0
2022-01-08,14,208.0
2022-01-08,15,110.0
2022-01-08,16,110.0
2022-01-08,17,110.0
2022-01-08,18,223.0
2022-01-08,19,110.0
2022-01-08,20,111.05
2022-01-08,21,219.0
2022-01-08,22,223.0
2022-01-08,23,222.7111
2022-01-08,24,270.0
2022-01-08,25,280.94
2022-01-08,26,219.0
2022-01-08,27,228.0
2022-01-08,28,218.5
2022-01-08,29,218.5
2022-01-08,30,218.5
2022-01-08,31,219.0
2022-01-08,32,218.5
2022-01-08,33,218.5
2022-01-08,34,221.5
2022-01-08,35,221.5
2022-01-08,36,221.5
2022-01-08,37,221.5
2022-01-08,38,113.5
2022-01-08,39,114.0
2022-01-08,40,115.0
2022-01-08,41,115.0
2022-01-08,42,115.0
2022-01-08,43,213.0
2022-01-08,44,213.0
2022-01-08,45,213.0
