settlement_date,settlement_period,period_start_utc,embedded_wind_mw,embedded_solar_mw,embedded_wind_capacity_mw,embedded_solar_capacity_mw
2022-01-01,1,2022-01-01T00:00:00Z,2713,0,6527,14008
2022-01-01,2,2022-01-01T00:30:00Z,2755,0,6527,14008
2022-01-01,3,2022-01-01T01:00:00Z,2930,0,6527,14008
2022-01-01,4,2022-01-01T01:30:00Z,3090,0,6527,14008
2022-01-01,5,2022-01-01T02:00:00Z,3161,0,6527,14008
2022-01-01,6,2022-01-01T02:30:00Z,3260,0,6527,14008
2022-01-01,7,2022-01-01T03:00:00Z,3441,0,6527,14008
2022-01-01,8,2022-01-01T03:30:00Z,3612,0,6527,14008
2022-01-01,9,2022-01-01T04:00:00Z,3647,0,6527,14008
2022-01-01,10,2022-01-01T04:30:00Z,3652,0,6527,14008
2022-01-01,11,2022-01-01T05:00:00Z,3722,0,6527,14008
2022-01-01,12,2022-01-01T05:30:00Z,3777,0,6527,14008
2022-01-01,13,2022-01-01T06:00:00Z,3863,0,6527,14008
2022-01-01,14,2022-01-01T06:30:00Z,3902,0,6527,14008
2022-01-01,15,2022-01-01T07:00:00Z,3996,0,6527,14008
2022-01-01,16,2022-01-01T07:30:00Z,4081,0,6527,14008
2022-01-01,17,2022-01-01T08:00:00Z,4135,0,6527,14008
2022-01-01,18,2022-01-01T08:30:00Z,4172,91,6527,14008
2022-01-01,19,2022-01-01T09:00:00Z,4260,460,6527,14008
2022-01-01,20,2022-01-01T09:30:00Z,4308,947,6527,14008
2022-01-01,21,2022-01-01T10:00:00Z,4344,1165,6527,14008
2022-01-01,22,2022-01-01T10:30:00Z,4362,1428,6527,14008
2022-01-01,23,2022-01-01T11:00:00Z,4374,1566,6527,14008
2022-01-01,24,2022-01-01T11:30:00Z,4346,1462,6527,14008
2022-01-01,25,2022-01-01T12:00:00Z,4311,1460,6527,14008
2022-01-01,26,2022-01-01T12:30:00Z,4252,1285,6527,14008
2022-01-01,27,2022-01-01T13:00:00Z,4195,1150,6527,14008
2022-01-01,28,2022-01-01T13:30:00Z,4112,1075,6527,14008
2022-01-01,29,2022-01-01T14:00:00Z,4071,891,6527,14008
2022-01-01,30,2022-01-01T14:30:00Z,4018,641,6527,14008
2022-01-01,31,2022-01-01T15:00:00Z,3982,215,6527,14008
2022-01-01,32,2022-01-01T15:30:00Z,3941,37,6527,14008
2022-01-01,33,2022-01-01T16:00:00Z,3912,0,6527,14008
2022-01-01,34,2022-01-01T16:30:00Z,3864,0,6527,14008
2022-01-01,35,2022-01-01T17:00:00Z,3902,0,6527,14008
2022-01-01,36,2022-01-01T17:30:00Z,3911,0,6527,14008
2022-01-01,37,2022-01-01T18:00:00Z,3865,0,6527,14008
2022-01-01,38,2022-01-01T18:30:00Z,3783,0,6527,14008
2022-01-01,39,2022-01-01T19:00:00Z,3695,0,6527,14008
2022-01-01,40,2022-01-01T19:30:00Z,3580,0,6527,14008
2022-01-01,41,2022-01-01T20:00:00Z,3501,0,6527,14008
2022-01-01,42,2022-01-01T20:30:00Z,3369,0,6527,14008
2022-01-01,43,2022-01-01T21:00:00Z,3243,0,6527,14008
2022-01-01,44,2022-01-01T21:30:00Z,3077,0,6527,14008
2022-01-01,45,2022-01-01T22:00:00Z,3029,0,6527,14008
2022-01-01,46,2022-01-01T22:30:00Z,2996,0,6527,14008
2022-01-01,47,2022-01-01T23:00:00Z,3007,0,6527,14008
2022-01-01,48,2022-01-01T23:30:00Z,3005,0,6527,14008
2022-01-02,1,2022-01-02T00:00:00Z,2943,0,6527,14008
2022-01-02,2,2022-01-02T00:30:00Z,2878,0,6527,14008
2022-01-02,3,2022-01-02T01:00:00Z,2710,0,6527,14008
2022-01-02,4,2022-01-02T01:30:00Z,2608,0,6527,14008
2022-01-02,5,2022-01-02T02:00:00Z,2496,0,6527,14008
2022-01-02,6,2022-01-02T02:30:00Z,2396,0,6527,14008
2022-01-02,7,2022-01-02T03:00:00Z,2415,0,6527,14008
2022-01-02,8,2022-01-02T03:30:00Z,2441,0,6527,14008
2022-01-02,9,2022-01-02T04:00:00Z,2504,0,6527,14008
2022-01-02,10,2022-01-02T04:30:00Z,2568,0,6527,14008
2022-01-02,11,2022-01-02T05:00:00Z,2651,0,6527,14008
2022-01-02,12,2022-01-02T05:30:00Z,2759,0,6527,14008
